Timestamp,Source IP,Destination IP,Protocol,Packet Size (bytes),Flow Duration (s),Threat,Threat Type
2024-04-20 00:00:00,60.76.63.208,145.221.28.166,TCP,666.3,3.16,No,
2024-04-20 01:00:00,187.225.203.165,236.35.106.237,TCP,879.86,5.97,No,
2024-04-20 02:00:00,201.222.5.123,190.46.242.187,TCP,313.73,6.93,No,
2024-04-20 03:00:00,168.28.168.204,183.201.94.135,ICMP,502.2,5.2,No,
2024-04-20 04:00:00,219.75.11.92,241.41.2.164,UDP,619.75,4.21,No,
2024-04-20 05:00:00,34.206.53.1,146.242.65.64,UDP,1420.86,8.55,No,
2024-04-20 06:00:00,76.224.196.214,8.14.137.228,TCP,1160.65,2.07,No,
2024-04-20 07:00:00,27.68.44.191,85.177.103.13,UDP,1282.42,1.58,No,
2024-04-20 08:00:00,196.132.151.153,241.200.74.180,ICMP,1479.26,5.91,Yes,Port Scan
2024-04-20 09:00:00,103.51.62.138,208.148.219.51,ICMP,219.45,7.4,No,
2024-04-20 10:00:00,190.164.70.162,200.252.164.43,UDP,960.83,4.34,No,
2024-04-20 11:00:00,43.234.157.156,158.118.165.94,TCP,1206.35,0.87,No,
2024-04-20 12:00:00,139.234.212.102,43.216.111.210,UDP,668.04,3.99,No,
2024-04-20 13:00:00,67.230.88.161,188.188.11.5,TCP,1247.71,1.06,Yes,Phishing
2024-04-20 14:00:00,189.105.37.11,34.6.178.195,UDP,116.07,0.63,No,
2024-04-20 15:00:00,203.216.54.234,209.230.6.197,ICMP,338.09,5.66,No,
2024-04-20 16:00:00,35.247.128.139,163.86.248.28,TCP,816.87,9.39,No,
2024-04-20 17:00:00,232.5.29.199,197.58.170.142,TCP,395.82,1.45,No,
2024-04-20 18:00:00,185.134.172.59,79.140.9.184,TCP,329.98,6.1,No,
2024-04-20 19:00:00,5.49.163.201,236.57.106.10,ICMP,1069.54,5.29,No,
2024-04-20 20:00:00,66.247.27.242,134.130.172.237,TCP,25.34,9.66,No,
2024-04-20 21:00:00,41.98.142.65,219.228.184.60,UDP,376.05,1.99,No,
2024-04-20 22:00:00,105.85.16.55,119.132.12.147,ICMP,44.83,0.82,No,
2024-04-20 23:00:00,250.56.222.243,6.220.178.199,TCP,1278.64,8.32,No,
2024-04-21 00:00:00,216.93.187.174,190.59.15.108,TCP,787.21,3.95,No,
2024-04-21 01:00:00,233.8.230.10,230.49.37.72,UDP,986.66,4.02,No,
2024-04-21 02:00:00,75.3.110.110,146.165.251.28,ICMP,979.68,1.63,No,
